text,label
BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,false
Court Orders Obama To Pay $400 Million In Restitution,false
UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,false
Oscar Pistorius Attempts To Commit Suicide,false
Trump Votes For Death Penalty For Being Gay,false
Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,false
New York Man Wanted For Infecting 240 Men And Women With HIV!!!,false
Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,false
Malia Obama Fired From Cushy Internship At Spanish Embassy,false
Target to Discontinue Sale of Holy Bible,false
Youngest World Leader Bans George Soros’s Foundations From Austria,false
BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’,false
"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",false
President Trump Underscores US-Jamaica Relations,false
Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,false
Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,false
"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",false
Black Men Arrested In Philadelphia Starbucks Settle For $2 Million,false
ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail,false
Former presidents walk fine line in Trump’s America,false
"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",false
BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,false
"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",false
BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,false
Clinton Campaign official arrested by FBI on child rape/trafficking charges,false
"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",false
"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",false
Biden raises possibility of 2020 presidential bid,false
